p_cluster_0,p_cluster_1,p_cluster_2,p_cluster_3,p_cluster_4,p_cluster_5,document_id
2.604161842740139e-19,0.030660981005139927,0.9693390129725942,4.7864035613745646e-27,2.450344263237284e-20,6.022265774465662e-09,TbQuEkpjM1GIsXbnrct4
1.4548514580136235e-21,3.718316267627595e-07,0.06152518137716506,1.0500598687451051e-29,9.02206260575976e-08,0.9384743565705822,UU8I5WAZYjU03ABJ5Dbf
4.1973920952899526e-05,0.00014750129404950113,0.999809817390311,2.6906923545783333e-42,5.807197865010352e-13,7.073941048332719e-07,WGxAolgPv3sP25QqgRFM
1.30004457678011e-35,7.651640069683017e-20,1.0,8.013410388916207e-115,5.6929190917152045e-39,9.348249905252868e-30,XqkepwXWpWP5RbxEExsG
2.3840153893824067e-18,2.6641019249644693e-07,0.008094035623783816,2.3509735278667992e-26,1.1508944684346244e-10,0.991905697850934,XwHIBlRKtT4859pTnqGj
2.1628819587185325e-22,0.15005839378113137,0.8499414839618226,2.879315977523318e-28,2.7567800822563255e-08,9.468924526549887e-08,YLyvY8z7W92B5J2NurrT
1.43175053810215e-21,1.9908044232347097e-05,0.000135480071352103,0.9998431152304618,1.4255494225071753e-11,1.4966396983902272e-06,Z7wULob4A68166ew4g64
1.3572984739561264e-14,0.9422683396818946,0.05773165371859941,2.5894824973724876e-23,3.148638500211049e-14,6.59946041036516e-09,ZWWiFlMVKqg4rBLqZSXM
6.512254807874193e-20,2.7671629141425212e-06,0.020572957435010586,1.086679326416562e-26,6.735978714701482e-08,0.9794242080422885,ZnyReph69RIUjZKhfO9l
4.889711484694755e-27,0.9701543585629232,0.02984558546042864,4.484684611947196e-11,1.3357678315390994e-14,5.59317869575042e-08,Zqt2jjWwaIl0ghOgHOor
5.1352641956846e-28,5.042696150991975e-05,0.02559460816089917,6.799315754700215e-17,1.921987465935737e-17,0.9743549648775915,ZszGUYmCDXRYbZBBGerx
2.887516781527234e-26,2.3494202281039675e-05,0.9999752262012358,2.683790786792494e-35,7.76676718041572e-07,5.029197644335518e-07,auBxSIAK7k7NcQYVXLut
